Date	Time	Severity	PID	TID	Function	Message
05-03-2025	17:21:34.209	 INFO	 25784	 15608	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:21:34.212	 INFO	 25784	 14032	InitializeCurrentProcessInfo	"0|0|0"
05-03-2025	17:21:34.217	ERROR	 25784	 14032	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813
"
05-03-2025	17:21:34.217	 INFO	 25784	 14032	ProcessEdlpPolicy	"Label Id :0"
05-03-2025	17:25:36.731	 INFO	 35572	 17772	DllMain	"DLL_PROCESS_ATTACH "
05-03-2025	17:25:36.732	 INFO	 35572	 29320	InitializeCurrentProcessInfo	"0|0|0"
05-03-2025	17:25:36.738	ERROR	 35572	 29320	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813
"
05-03-2025	17:25:36.738	 INFO	 35572	 29320	ProcessEdlpPolicy	"Label Id :0"
